DEBUG 2024-07-27 23:35:10,697 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/utils/termcolors.py first seen with mtime 1721892401.340838
DEBUG 2024-07-27 23:35:10,697 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/core/checks/security/csrf.py first seen with mtime 1721892401.236284
DEBUG 2024-07-27 23:35:10,697 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/urls/base.py first seen with mtime 1721892401.3298435
DEBUG 2024-07-27 23:35:10,697 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/sqlparse/filters/right_margin.py first seen with mtime 1721892400.0286806
DEBUG 2024-07-27 23:35:10,697 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/db/models/fields/reverse_related.py first seen with mtime 1721892401.2869778
DEBUG 2024-07-27 23:35:10,697 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/email/_parseaddr.py first seen with mtime 1707004907.0
DEBUG 2024-07-27 23:35:10,697 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/core/handlers/exception.py first seen with mtime 1721892401.2418203
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/functools.py first seen with mtime 1707004887.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1721892400.4373372
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_markupbase.py first seen with mtime 1707004886.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/io.py first seen with mtime 1707004887.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/sqlparse/filters/__init__.py first seen with mtime 1721892400.027173
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/contrib/sites/requests.py first seen with mtime 1721892401.167528
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_sysconfigdata__darwin_darwin.py first seen with mtime 1707004917.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/views/generic/detail.py first seen with mtime 1721892401.3495345
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/views/static.py first seen with mtime 1721892401.346075
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/asyncio/base_subprocess.py first seen with mtime 1707004904.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/core/cache/backends/locmem.py first seen with mtime 1721892401.2322788
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/views/decorators/common.py first seen with mtime 1721892401.347063
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/email/message.py first seen with mtime 1707004908.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/unittest/main.py first seen with mtime 1707004916.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/lib-dynload/_datetime.cpython-39-darwin.so first seen with mtime 1708653907.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/core/checks/registry.py first seen with mtime 1721892401.2345574
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/rest_framework/reverse.py first seen with mtime 1721904028.6327996
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/email/parser.py first seen with mtime 1707004908.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/lib-dynload/_random.cpython-39-darwin.so first seen with mtime 1708653908.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/db/models/sql/__init__.py first seen with mtime 1721892401.2891579
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/contrib/postgres/__init__.py first seen with mtime 1721892400.9860547
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_osx_support.py first seen with mtime 1707004886.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/rest_framework/renderers.py first seen with mtime 1721904028.6319108
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/rest_framework/utils/formatting.py first seen with mtime 1721904028.7280622
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/mimetypes.py first seen with mtime 1707004887.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/db/models/options.py first seen with mtime 1721892401.2815175
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/utils/tree.py first seen with mtime 1721892401.3423586
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/lib-dynload/_hashlib.cpython-39-darwin.so first seen with mtime 1708653913.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/hmac.py first seen with mtime 1707004887.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/contrib/sessions/__init__.py first seen with mtime 1721892401.0952196
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/bz2.py first seen with mtime 1707004886.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/asyncio/base_futures.py first seen with mtime 1707004904.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/email/mime/multipart.py first seen with mtime 1707004908.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/contrib/auth/password_validation.py first seen with mtime 1721892400.5435326
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/asyncio/coroutines.py first seen with mtime 1707004905.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/asyncio/trsock.py first seen with mtime 1707004905.0
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/db/migrations/__init__.py first seen with mtime 1721892401.2727027
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/views/generic/list.py first seen with mtime 1721892401.3506367
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/db/migrations/operations/special.py first seen with mtime 1721892401.277588
DEBUG 2024-07-27 23:35:10,698 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/sqlparse/engine/grouping.py first seen with mtime 1721892400.02642
DEBUG 2024-07-27 23:35:10,698 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/logging/__init__.py first seen with mtime 1707004910.0
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/templatetags/cache.py first seen with mtime 1721892401.3252287
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/rest_framework/authtoken/admin.py first seen with mtime 1721904028.6383789
DEBUG 2024-07-27 23:35:10,699 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sysconfig.py first seen with mtime 1707004888.0
DEBUG 2024-07-27 23:35:10,699 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/copy.py first seen with mtime 1707004887.0
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/db/backends/postgresql/creation.py first seen with mtime 1721892401.2686079
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1721892400.4363036
DEBUG 2024-07-27 23:35:10,699 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/concurrent/futures/__init__.py first seen with mtime 1707004905.0
